codproc,nome,sexo,idade_min,idade_max,vlr_sp,qtde_maxima,ptos_ato,dias_permanencia,complexidade,co_financiamento
702030058,ARRUELAS DE TITANIO PARA CIRURGIA DA COLUNA,I,9999,9999,0,1,0,9999,0,6
702030104,COMPONENTE ACETABULAR METÁLICO DE FIXAÇÃO BIOLÓGICA PRIMÁRIA / REVISÃO,I,9999,9999,0,1,0,9999,0,6
702030180,COMPONENTE FEMORAL DE REVISAO CIMENTADO / FIXACAO BIOLOGICA,I,9999,9999,0,1,0,9999,0,6
702030260,COMPONENTE TIBIAL DE REVISAO METALICO CIMENTADO / FIXACAO BIOLOGICA EM CUNHA ,I,9999,9999,0,1,0,9999,0,6
701030194,REPOSIÇÃO DE AASI EXTERNO INTRA-AURICULAR TIPO B,N,9999,9999,0,2,0,9999,0,6
701030267,REPOSIÇÃO DE AASI EXTERNO MICRO-CANAL TIPO C,N,9999,9999,0,2,0,9999,0,6
701050047,CONJUNTO DE PLACA E BOLSA PARA OSTOMA INTESTINAL,N,9999,9999,0,10,0,9999,0,6
701070072,PLACA OCLUSAL,I,12,130,0,2,0,9999,0,6
701080060,PRÓTESE LABIAL ,N,9999,9999,0,1,0,9999,0,6
701090022,SUBSTITUICAO DE ESPUMA E MEIA COSMETICA EM PROTESE ENDOESQUELETICA TRANSFEMURAL,N,9999,9999,0,1,0,9999,0,6
701090090,SUBSTITUIÇÃO/TROCA DO ENCAIXE PARA PRÓTESE TRANSFEMURAL ENDOESQUELETICA / EXOESQUELETICA. ,N,9999,9999,0,2,0,9999,0,6
702010154,GERADOR P/ ESTIMULACAO CEREBRAL,I,9999,9999,0,1,0,9999,0,6
702010200,SHUNT LOMBO-PERITONAL,I,9999,9999,0,1,0,9999,0,6
702030090,COMPONENTE ACETABULAR DE POLIETILENO CIMENTADO PRIMARIO / REVISAO,I,9999,9999,0,1,0,9999,0,6
702030155,COMPONENTE DE AUMENTO FEMURAL P/ REVISÃO DE PRÓTESE TOTAL DE JOELHO,I,9999,9999,0,4,0,9999,0,6
702030414,FIXADOR EXTERNO P/ PUNHO,I,9999,9999,0,1,0,9999,0,6
702030538,HASTE INTRAMEDULAR BLOQUEADA DE UMERO (INCLUI PARAFUSOS),I,9999,9999,0,1,0,9999,0,6
702030597,COMPONENTE ACETABULAR DE POLIETILENO P/ COMPONENTE METALICO PRIMARIO / DE REVISAO DE FIXACAO BIOLOGICA ,I,9999,9999,0,2,0,9999,0,6
702030627,PARAFUSO CANULADO 3.5 MM,I,9999,9999,0,6,0,9999,0,6
702030813,PLACA C/ PARAFUSO DESLIZANTE DE 135 OU 150 GRAUS,I,9999,9999,0,1,0,9999,0,6
702030910,PLACA DE COMPRESSAO DINAMICA 4.5 MM LARGA (INCLUI PARAFUSOS) ,I,9999,9999,0,2,0,9999,0,6
702030970,PLACA EM L 4.5 MM (INCLUI PARAFUSOS),I,9999,9999,0,2,0,9999,0,6
702030996,PLACA EM T 3.5 MM (INCLUI PARAFUSOS),I,9999,9999,0,1,0,9999,0,6
702031100,PLACAS TÓRACO-LOMBO-SACRAL ASSOCIADA A PARAFUSOS INTRA-SOMÁTICOS DE TITÂNIO,I,9999,9999,0,1,0,9999,0,6
702031194,PROTESE NAO CONVENCIONAL BI-ARTICULADA TOTAL,I,9999,9999,0,2,0,9999,0,6
702031283,TELA DE RECONSTRUCAO ACETABULAR,I,9999,9999,0,1,0,9999,0,6
702040088,CATETER BALAO P/ ANGIOPLASTIA TRANSLUMINAL PERCUTANEA,I,9999,9999,0,2,0,9999,0,6
701030186,REPOSIÇÃO DE AASI EXTERNO INTRA-AURICULAR TIPO A,N,9999,9999,0,2,0,9999,0,6
701030216,REPOSIÇÃO DE AASI EXTERNO INTRA-CANAL TIPO A,N,9999,9999,0,2,0,9999,0,6
701030259,REPOSIÇÃO DE AASI EXTERNO MICRO-CANAL TIPO B,N,9999,9999,0,2,0,9999,0,6
701040017,BENGALA ARTICULADA,I,3,130,0,1,0,9999,0,6
701080035,PRÓTESE EXTENSA / COMBINADA (2/3 DA FACE),I,0,0,0,2,0,9999,0,6
701080086,PRÓTESE ÓCULO-PALPEBRAL ,N,9999,9999,0,2,0,9999,0,6
701100052,MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS - MEIA (3/4) - PECA,N,9999,9999,0,2,0,9999,0,6
702010014,BALAO DESTACAVEL,I,9999,9999,0,3,0,9999,0,6
702010170,MICRO CATETER FLUXO DEPENDENTE,I,9999,9999,0,3,0,9999,0,6
702010189,MICRO CATETER P/ BALAO,I,9999,9999,0,1,0,9999,0,6
702010219,VALVULA PARA HIDROCEFALIA ,I,9999,9999,0,1,0,9999,0,6
702030120,COMPONENTE CEFALICO / POLIETILENO / METAL P/ HEMIARTROPLASTIA BIPOLAR / METALICO P/ HEMIARTROPLASIA MONOPOLAR,I,9999,9999,0,1,0,9999,0,6
702030325,FIO OLIVADO P/ FIXADOR EXTERNO,I,9999,9999,0,6,0,9999,0,6
702030384,FIXADOR EXTERNO CIRCULAR / SEMI-CIRCULAR ,I,9999,9999,0,1,0,9999,0,6
702030473,HASTE DE RUSH,I,9999,9999,0,3,0,9999,0,6
702030678,PARAFUSO CORTICAL 2.0 MM,I,9999,9999,0,6,0,9999,0,6
702030724,PARAFUSO ESPONJOSO 4.0 MM ,I,9999,9999,0,6,0,9999,0,6
702030783,PARAFUSO CANULADO DE TITANIO AUTO-ROSCANTE PARA FIXACAO DE ODONTOIDE ,I,9999,9999,0,2,0,9999,0,6
702031020,PLACA EM TREVO 4.5 MM (INCLUI PARAFUSOS) ,N,9999,9999,0,1,0,9999,0,6
702031186,PROTESE NAO CONVENCIONAL ARTICULADA PROXIMAL DE MEMBRO SUPERIOR ,I,9999,9999,0,2,0,9999,0,6
702040126,CATETER DE TROMBECTOMIA MECANICA PERCUTANEA,I,9999,9999,0,1,0,9999,0,6
702040193,CONJUNTO P/ CIRCULACAO EXTRACORPOREA (ADULTO),I,12,130,0,2,0,9999,0,6
702040304,ENDOPROTESE TORACICA RETA ,I,9999,9999,0,1,0,9999,0,6
701070048,COROA DE ACO E POLICARBOXILATO,N,9999,9999,0,32,0,9999,0,6
701090057,SUBSTITUICAO DE LUVA COSMETICA P/ MAOS PROTETICAS ,N,9999,9999,0,1,0,9999,0,6
701100036,MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS (MEIO CANO OU CANO P E B) -(PECA) ,N,9999,9999,0,2,0,9999,0,6
702010049,CATETER GUIA CALIBRE 6F A 8F,I,9999,9999,0,1,0,9999,0,6
702010120,CONJUNTO PADRAO P/ HIDROCEFALIA,I,9999,9999,0,1,0,9999,0,6
702030139,COMPONENTE CEFÁLICO PARA ARTROPLASTIA TOTAL DO QUADRIL (INCLUI PRÓTESE) ,I,9999,9999,0,1,0,9999,0,6
702030198,COMPONENTE FEMORAL MODULAR DE REVISAO CIMENTADA P/ ENXERTO IMPACTADO ,I,9999,9999,0,1,0,9999,0,6
702030589,HASTE TIBIAL P/ REVISAO DE PROTESE TOTAL DO JOELHO,I,9999,9999,0,1,0,9999,0,6
702030708,PARAFUSO CORTICAL 4.5 MM,I,9999,9999,0,10,0,9999,0,6
702030716,PARAFUSO DE INTERFERÊNCIA DE TITÂNIO,I,9999,9999,0,4,0,9999,0,6
702030767,PARAFUSO P/ COMPONENTE ACETABULAR,I,9999,9999,0,5,0,9999,0,6
702031259,RESTRITOR DE CIMENTO FEMORAL/UMERAL,I,9999,9999,0,1,0,9999,0,6
702031291,TELA DE RECONSTRUCAO FEMORAL,I,9999,9999,0,1,0,9999,0,6
702040150,CATETER VENOSO CENTRAL DUPLO LUMEN ,I,9999,9999,0,2,0,9999,0,6
702040223,CONJUNTO P/ VALVOPLASTIA MITRAL PERCUTANEA ,I,9999,9999,0,1,0,9999,0,6
702040240,ELETRODO ENDOCARDICO DEFINITIVO,I,9999,9999,0,2,0,9999,0,6
702040266,ELETRODO P/ MARCAPASSO TEMPORARIO ENDOCARDICO,I,9999,9999,0,1,0,9999,0,6
702040320,ENXERTO ARTERIAL TUBULAR BIFURCADO INORGANICO C/ COLAGENO,I,9999,9999,0,1,0,9999,0,6
702040452,PATCH INORGANICO (50 CM2) ,I,9999,9999,0,1,0,9999,0,6
702040576,PROTESE VALVULAR MECANICA DE DUPLO FOLHETO ,I,9999,9999,0,2,0,9999,0,6
702040584,SISTEMA DE COLOCACAO DE COILS ,I,9999,9999,0,1,0,9999,0,6
702050032,CARGA P/ GRAMPEADOR LINEAR,I,9999,9999,0,1,0,9999,0,6
702050156,DISPOSITIVO INTERSOMÁTICO DE MANUTENÇÃO DE ESPAÇO INTERVERTEBRAL CARREADOR DE ENXERTO (TIPO CESTA FIXA/ CUNHA E OUTROS) DE TITÂNIO,I,9999,9999,0,9,0,9999,0,6
701040033,LUPA DE APOIO COM OU SEM ILUMINAÇÃO,I,3,130,0,1,0,9999,0,6
701070013,APARELHO FIXO BILATERAL PARA FECHAMENTO DE DIASTEMA ,I,8,130,0,2,0,9999,0,6
701070099,PROTESE PARCIAL MANDIBULAR REMOVIVEL,I,15,130,0,1,0,9999,0,6
701080078,PRÓTESE NASAL,N,9999,9999,0,1,0,9999,0,6
702010022,BOMBA IMPLANTAVEL DE INFUSAO DE FARMACOS NO SISTEMA NERVOSO CENTRAL,I,9999,9999,0,1,0,9999,0,6
702010030,CATETER ATRIAL / PERITONEAL,I,9999,9999,0,1,0,9999,0,6
702010081,CONECTOR EM Y / RETO,I,9999,9999,0,1,0,9999,0,6
702010197,MICROBALAO DE REMODELAGEM ,I,9999,9999,0,1,0,9999,0,6
702030228,COMPONENTE FEMORAL PRIMARIO CIMENTADO / FIXACAO BIOLOGICA,I,9999,9999,0,1,0,9999,0,6
702030287,COMPONENTE TIBIAL PRIMARIO METALICO CIMENTADO / FIXACAO BIOLOGICA,I,9999,9999,0,1,0,9999,0,6
702030309,COMPONENTE UMERAL CIMENTADO / FIXACAO BIOLOGICA DE REVISAO ,I,9999,9999,0,1,0,9999,0,6
702030376,FIXADOR EXTERNO C/ SISTEMA DE PEQUENOS FRAGMENTOS C/ SISTEMA DE CORRECAO ANGULAR ,I,9999,9999,0,1,0,9999,0,6
702030406,FIXADOR EXTERNO LINEAR,I,9999,9999,0,2,0,9999,0,6
702030821,PLACA C/ PARAFUSO DESLIZANTE DE 95 GRAUS ,I,9999,9999,0,1,0,9999,0,6
702030929,PLACA DE RECONSTRUÇÃO 3.5 MM (INCLUI PARAFUSOS),I,9999,9999,0,3,0,9999,0,6
702031089,PLACA SEMITUBULAR 3.5 MM (INCLUI PARAFUSOS),I,9999,9999,0,2,0,9999,0,6
702031135,PROTESE INTERFALANGEANA ,I,9999,9999,0,4,0,9999,0,6
702031208,PROTESE NAO CONVENCIONAL DIAFISARIA,I,9999,9999,0,2,0,9999,0,6
702040142,CATETER MULTIPOLAR TERAPEUTICO (QUADRI/ DECA/ DUODECAPOLAR/ ETC),I,9999,9999,0,1,0,9999,0,6
702040231,ELETRODO DE CARDIOVERSOR DESFIBRILADOR,I,9999,9999,0,1,0,9999,0,6
702050202,FIXADOR DINAMICO P/ BUCO-MAXILO-FACIAL,I,0,0,0,1,0,9999,0,6
702050300,HASTE DE COMPRESSÃO - (SISTEMA HARRINGTON) ,I,9999,9999,0,2,0,9999,0,6
702050415,PARAFUSOS ASSOCIÁVEIS A PLACAS TÓRACO-LOMBO-SACRAIS DE TITÂNIO,I,9999,9999,0,18,0,9999,0,6
701030151,MOLDE AURICULAR (REPOSIÇÃO),N,9999,9999,0,2,0,9999,0,6
701040050,ÓCULOS COM LENTES CORRETIVAS IGUAIS / MAIORES QUE 0.5DIOPTRIAS ,N,9999,9999,0,1,0,9999,0,6
701080043,PRÓTESE FIXA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL ,I,15,130,0,6,0,9999,0,6
702010138,ESPIRAIS DE PLATINA ,I,9999,9999,0,10,0,9999,0,6
702020036,GUIA SAGITAL,I,2,130,0,9999,0,9999,0,6
702030236,COMPONENTE GLENOIDAL,I,9999,9999,0,1,0,9999,0,6
702030295,COMPONENTE UMERAL CIMENTADO / FIXACAO BIOLOGICA,I,9999,9999,0,1,0,9999,0,6
702030392,FIXADOR EXTERNO HIBRIDO ,I,9999,9999,0,1,0,9999,0,6
702030422,FIXADOR EXTERNO TIPO PLATAFORMA - SISTEMA DE ALONGAMENTO / TRANSPLANTE OSSEO ,I,9999,9999,0,1,0,9999,0,6
702030546,HASTE INTRAMEDULAR FLEXIVEL P/ USO INFANTIL,I,9999,9999,0,3,0,9999,0,6
702030686,PARAFUSO CORTICAL 2.7 MM,N,9999,9999,0,6,0,9999,0,6
702031062,PLACA PONTE 4.5 MM (INCLUI PARAFUSO),I,9999,9999,0,1,0,9999,0,6
702031119,PORCAS DE TITANIO P/ CIRURGIA DA COLUNA,I,9999,9999,0,1,0,9999,0,6
702031160,PROTESE NAO CONVENCIONAL ARTICULADA DISTAL DE MEMBRO SUPERIOR,I,9999,9999,0,1,0,9999,0,6
702040010,AGULHA P/ PUNCAO TRANSEPTAL,I,9999,9999,0,1,0,9999,0,6
702040070,CATETER BALAO P/ ANGIOPLASTIA PERIFERICA ,I,9999,9999,0,1,0,9999,0,6
702050059,CATETER BALAO P/ EMBOLECTOMIA ARTERIAL / VENOSA,N,9999,9999,0,4,0,9999,0,6
702050075,CATETER DE TERMODILUICAO CONTINUA,I,9999,9999,0,1,0,9999,0,6
702050113,CIMENTO S/ ANTIBIOTICO,I,9999,9999,0,3,0,9999,0,6
702050253,GANCHO PEDICULAR,I,9999,9999,0,12,0,9999,0,6
702050490,PLACAS TORACO-LOMBO-SACRAL ASSOCIADAS A PARAFUSOS PEDICULARES DE TITANIO,I,9999,9999,0,2,0,9999,0,6
702050580,VALVULA P/ TRATAMENTO DE ASCITE,I,9999,9999,0,1,0,9999,0,6
702060011,CATETER DUPLO J,I,9999,9999,0,2,0,9999,0,6
701030143,APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO RETRO-AURICULAR TIPO C ,I,0,130,0,2,0,9999,0,6
701040130,ÓCULOS COM LENTES ESFERO PRISMÁTICAS,I,4,130,0,1,0,9999,0,6
701050020,BOLSA DE COLOSTOMIA COM ADESIVO MICROPORO DRENAVEL,N,9999,9999,0,30,0,9999,0,6
701070129,PROTESE TOTAL MANDIBULAR,I,15,130,0,1,0,9999,0,6
702020052,PROTESE MANDIBULAR,I,0,0,0,9999,0,9999,0,6
702030082,CIMENTO C/ ANTIBIOTICO,I,9999,9999,0,3,0,9999,0,6
702030368,FIXADOR EXTERNO C/ SISTEMA DE CORRECAO ANGULAR E/OU ROTACIONAL,I,9999,9999,0,1,0,9999,0,6
702030465,HASTE DE ENDER ,I,9999,9999,0,3,0,9999,0,6
702030520,HASTE INTRAMEDULAR BLOQUEADA DE TIBIA (INCLUI PARAFUSOS),I,9999,9999,0,1,0,9999,0,6
702030619,MINI-PARAFUSO DE AUTO-COMPRESSAO ,I,9999,9999,0,3,0,9999,0,6
702030732,PARAFUSO ESPONJOSO 6.5 MM ,I,9999,9999,0,6,0,9999,0,6
702031097,PLACA SEMITUBULAR 4.5 MM (INCLUI PARAFUSOS),I,9999,9999,0,1,0,9999,0,6
702031151,PROTESE NAO CONVENCIONAL ARTICULADA DISTAL DE MEMBRO INFERIOR,I,9999,9999,0,1,0,9999,0,6
702031178,PROTESE NAO CONVENCIONAL ARTICULADA PROXIMAL DE MEMBRO INFERIOR ,I,9999,9999,0,1,0,9999,0,6
702031240,PRÓTESE TOTAL DE COTOVELO (COMPONENTE UMERAL CIMENTADO + COMPONENTE ULNAR) ,I,9999,9999,0,2,0,9999,0,6
702040355,ENXERTO ARTERIAL TUBULAR VALVADO ORGANICO,I,9999,9999,0,1,0,9999,0,6
702040371,ENXERTO TUBULAR DE POLITETRAFLUORETILENO DE ATÉ 70CM (PTFE),I,9999,9999,0,70,0,9999,0,6
702040428,MARCAPASSO CARDIACO MULTIPROGRAMAVEL DE CAMARA UNICA,I,9999,9999,0,2,0,9999,0,6
702050040,CARGA P/ GRAMPEADOR LINEAR CORTANTE,I,9999,9999,0,4,0,9999,0,6
702050083,CATETER MULTIPERFURADO P/ INFUSAO DE DROGAS,I,9999,9999,0,1,0,9999,0,6
702080020,PROTESE GLUTEA DE SILICONE (PAR) ,I,9999,9999,0,1,0,9999,0,6
702090042,PRÓTESE TRAQUEOESOFÁGICA PARA REABILITAÇÃO DA FONAÇÃO DO PACIENTE LARINGECTOMIZADO..INCLUI MATERIAL. ,I,9999,9999,0,1,0,9999,0,6
702100072,CONJUNTO DE TROCA P/ TREINAMENTO DE PACIENTE SUBMETIDO A DPA / DPAC (9 DIAS)CORRESPONDENTE A 36 UNIDADES,N,9999,9999,0,1,0,9999,0,4
701040084,ÓCULOS BIFOCAL - PROJETO OLHAR BRASIL ,I,0,9,0,1,0,9999,0,4
701100060,MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS - MEIA- PERNA INTEIRA (PECA),N,9999,9999,0,2,0,9999,0,6
702010073,CLIP DE COBALTO DEFINITIVO P/ ANEURISMA,I,9999,9999,0,3,0,9999,0,6
702010103,CONJUNTO DE ELETRODO E EXTENSAO P/ ESTIMULACAO CEREBRAL ,I,9999,9999,0,1,0,9999,0,6
702020010,AUTOMOBILIZADOR,I,0,0,0,2,0,9999,0,6
702030023,ANCORA ,I,9999,9999,0,4,0,9999,0,6
702030171,COMPONENTE FEMORAL CIMENTADO MONOBLOCO TIPO CHARNLEY,I,9999,9999,0,1,0,9999,0,6
702030694,PARAFUSO CORTICAL 3.5 MM,I,9999,9999,0,8,0,9999,0,6
702040061,CARDIOVERSOR DESFIBRILADOR IMPLANTAVEL,I,9999,9999,0,1,0,9999,0,6
702040290,ENDOPROTESE AORTICA TUBULAR / CONICA,I,9999,9999,0,1,0,9999,0,6
702040339,ENXERTO ARTERIAL TUBULAR INORGANICO C/ COLAGENO,I,9999,9999,0,1,0,9999,0,6
702040363,ENXERTO TUBULAR DE POLITETRAFLUORETILENO DE ÁTÉ 20CM (PTFE),I,9999,9999,0,20,0,9999,0,6
702040410,MARCAPASSO CARDIACO MULTIPROGRAMAVEL DE CAMARA DUPLA,I,9999,9999,0,1,0,9999,0,6
702050105,CIANOACRILATO (FRASCO),N,9999,9999,0,3,0,9999,0,6
702050210,GANCHO C/ SISTEMA SULCADO P/ FIXACAO DE HASTES DE TITÂNIO,I,9999,9999,0,26,0,9999,0,6
702080012,EXPANSOR TECIDUAL ,I,9999,9999,0,2,0,9999,0,6
702090026,PROTESE P/ IMPLANTE COCLEAR MONOCANAL ,I,9999,9999,0,1,0,9999,0,6
702110027,PLACA TERMOMOLDAVEL DE MEMBRO INFERIOR,I,9999,9999,0,1,0,9999,0,6
702120014,LIQUIDO DE PRESERVACAO DE CORACAO P/ TRANSPLANTE (LITRO),N,9999,9999,0,3,0,9999,0,4
702120065,LIQUIDO DE PRESERVACAO PARA TRANSPLANTE DA CORNEA (20 ML),N,9999,9999,0,2,0,9999,0,4
801010020,CONCLUSÃO DA ASSISTÊNCIA PRE-NATAL (INCENTIVO) ,F,10,49,0,9999,0,9999,1,1
801010047,INCENTIVO AO REGISTRO CIVIL DE NASCIMENTO,I,9999,9999,0,1,0,9999,0,6
802010040,DIARIA DE ACOMPANHANTE DE IDOSOS C/ PERNOITE,I,60,130,0,9999,0,9999,0,6
601040023,ALFAEPOETINA 10.000 UI INJETAVEL (POR FRASCO-AMPOLA),I,0,0,0,16,0,9999,3,2
601050045,BECLOMETASONA (C) 400 MCG(POR CAPSULA INALANTE) ,I,0,0,0,60,0,9999,3,2
601070046,LAMOTRIGINA 25 MG (POR COMPRIMIDO) ,I,0,0,0,600,0,9999,3,2
601070089,VIGABATRINA 500 MG (POR COMPRIMIDO),I,0,0,0,240,0,9999,3,2
601100042,ENTACAPONA (F) 200 MG (POR COMPRIMIDO),I,0,0,0,300,0,9999,3,2
601100158,TOLCAPONA (F) 200 MG (POR COMPRIMIDO) ,I,0,0,0,90,0,9999,3,2
601170067,METADONA 10 MG/ML INJETAVEL (POR AMPOLA DE 1 ML),I,0,0,0,600,0,9999,3,2
601190092,BETAINTERFERONA (L) 1B 9.600.000 UI (300MCG) INJETAVEL (POR FRASCO-AMPOLA) ,I,0,0,0,15,0,9999,3,2
601200128,MICOFENOLATO DE SODIO (M) 360 MG (POR COMPRIMIDO) ,I,0,0,0,180,0,9999,3,2
601200152,SIROLIMO 2 MG (POR DRAGEA),I,0,0,0,210,0,9999,3,2
601230019,ALFADORNASE 2.5 MG (POR AMPOLA),I,0,0,0,60,0,9999,3,2
601240014,DEFERIPRONA 500 MG (POR COMPRIMIDO),I,0,0,0,540,0,9999,3,2
601270037,LEUPRORRELINA (O) 3.75 MG INJETAVEL ( POR FRASCO AMPOLA),I,0,0,0,2,0,9999,3,2
601330030,LEVOTIROXINA 25 MCG (POR COMPRIMIDO),I,0,0,0,300,0,9999,3,2
603050026,CLORIDRATO DE TIROFIBANA,I,0,130,0,3,0,9999,2,6
603060013,SURFACTANTE FRASCO-AMPOLA ,I,0,130,0,2,0,9999,2,6
603070051,CONCENTRADO FATOR VIII - FRASCO DE 250 UI,I,0,130,0,99,0,9999,2,6
603080049,CICLOSPORINA 25 MG P/ TRANSPLANTE (POR CAPSULA),I,0,130,0,72,0,9999,3,4
603080170,SIROLIMO 1MG/ML SOLUCAO ORAL P/ TRANSPLANTE (POR FRASCO DE 60ML),I,0,130,0,7,0,9999,3,4
701040025,LENTE ESCLERAL PINTADA,N,9999,9999,0,2,0,9999,0,6
701040122,ÓCULOS COM LENTES ASFÉRICAS POSITIVAS ,I,4,130,0,1,0,9999,0,6
701060034,COLETOR URINÁRIO DE PERNA OU DE CAMA,N,9999,9999,0,6,0,9999,0,6
802010130,DIARIA DE UNIDADE DE TERAPIA INTENSIVA NEONATAL - UTIN (TIPO III),I,0,0,72,02,9999,0,9999,0,6
601050029,BECLOMETASONA (C) 200 MCG PO INALANTE (POR FRASCODE 100 DOSES),I,0,0,0,4,0,9999,3,2
601050118,FORMOTEROL 12 MCG + BUDESONIDA 400 MCG(POR CAPSULA INALANTE),I,0,0,0,60,0,9999,3,2
601090063,MESALAZINA 500 MG (POR COMPRIMIDO) ,I,0,0,0,240,0,9999,3,2
601100115,PRAMIPEXOL 1 MG (POR COMPRIMIDO) ,I,0,0,0,150,0,9999,3,2
601140036,ISOTRETINOINA 10 MG (POR CAPSULA),I,0,0,0,720,0,9999,3,2
601180097,FLUVASTATINA (J) 20 MG (POR CAPSULA),I,0,0,0,120,0,9999,3,2
601200047,CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),I,0,0,0,9,0,9999,3,2
601200063,CICLOSPORINA 50 MG (POR CAPSULA) ,I,0,0,0,480,0,9999,3,2
601210042,IMUNOGLOBULINA HUMANA 0.5G INJETAVEL (POR FRASCO),I,0,0,0,480,0,9999,3,2
601210093,IMUNOGLOBULINA HUMANA 6.0 G INJETAVEL (POR FRASCO),I,0,0,0,40,0,9999,3,2
601330048,LEVOTIROXINA 50 MCG (POR COMPRIMIDO),I,0,0,0,150,0,9999,3,2
601360036,PANCRELIPASE 12.000 UI (POR CAPSULA),I,0,0,0,2500,0,9999,3,2
602010055,CONCENTRADO DE FATOR IX FRASCO DE 250 UI EM COGULOPATIAS HEREDITARIAS,I,0,9,0,9999,0,9999,3,2
602010110,CONCENTRADO DE FATOR VIII P/ TRATAMENTO DA DOENCA VAN WILLEBRAND FRASCO DE 500 UI EM COAGULOPATIAS HEREDITARIAS,I,0,9,0,9999,0,9999,3,2
602010144,SELANTE DE FIBRINA FRASCO DE 0.5ML EM COAGULOPATIAS HEREDITARIAS,I,0,9,0,9999,0,9999,3,2
603020020,CICLOSPORINA 100MG (POR CAPSULA) ,I,0,130,0,240,0,9999,2,6
603020062,IMUNOGLOBULINA EQUINA ANTITIMOCITOS HUMANOS 100 MG INJETAVEL (POR FRASCO-AMPOLA 0.5ML),I,0,9,0,84,0,9999,2,6
603080065,DACLIZUMABE 5 MG/ ML INJETAVEL P/ TRANSPLANTE (POR FRASCO DE 5 ML) ,I,0,130,0,10,0,9999,3,4
603080146,MICOFENOLATO DE SODIO 360MG P/ TRANSPLANTE (POR COMPRIMIDO),I,0,130,0,180,0,9999,3,4
701010118,BENGALA CANADENSE REGULÁVEL EM ALTURA (PAR),I,2,130,0,1,0,9999,0,6
701020075,ÓRTESE CRUROMALEOLAR PARA LIMITAÇÃO DOS MOVIMENTOS DO JOELHO ,N,9999,9999,0,1,0,9999,0,6
701020083,ÓRTESE CRUROPODÁLICA COM DISTRATOR PARA GENUVALGO / GENUVARO (INFANTIL E ADOLESCENTE) ,I,0,19,0,1,0,9999,0,6
701020130,ÓRTESE HCTO TIPO MINERVA IMOBILIZADORA CERVICAL COM APOIO TORÁCICO (COLAR).,N,9999,9999,0,1,0,9999,0,6
601050100,FORMOTEROL (D) 12 MCG PO INALANTE (POR FRASCO DE 60 DOSES) ,I,0,0,0,1,0,9999,3,2
